N,
-0.943525,0.19059
-0.9341,0.195826
-0.927817,0.1979204
-0.921534,0.1979204
-0.913156,0.207346
-0.901637,0.206298
-0.896401,0.20211
-0.895354,0.1989676
-0.889071,0.1926844
-0.889071,0.1780236
-0.891165,0.1759292
-0.891165,0.1727876
-0.89326,0.1706932
-0.89326,0.1675516
-0.894307,0.1665044
-0.894307,0.1602212
-0.889071,0.1528908
-0.884882,0.1445132
-0.872316,0.1403244
-0.866032,0.1403244
-0.863938,0.1424188
-0.863938,0.1476548
-0.864985,0.148702
-0.864985,0.1738348
-0.866032,0.174882
-0.866032,0.1874484
-0.859749,0.1937316
-0.849277,0.195826
-0.828333,0.195826
-0.823097,0.201062
-0.817861,0.201062
-0.805295,0.1884956
-0.805295,0.1685988
-0.806342,0.1675516
-0.806342,0.16441
-0.792729,0.1633628
-0.791681,0.16441
-0.791681,0.1780236
-0.790634,0.1790708
-0.790634,0.1832596
-0.789587,0.1843068
-0.787493,0.1926844
-0.785398,0.1947788
-0.785398,0.20211
-0.779115,0.208392
-0.771785,0.208392
-0.761313,0.1989676
-0.761313,0.1968732
-0.760265,0.195826
-0.760265,0.1790708
-0.759218,0.1780236
-0.759218,0.1727876
-0.758171,0.1717404
-0.758171,0.1654572
-0.757124,0.16441
-0.756077,0.1549852
-0.752935,0.1507964
-0.752935,0.148702
-0.750841,0.1466076
-0.734085,0.143466
-0.731991,0.1455604
-0.731991,0.148702
-0.730944,0.1497492
-0.728849,0.1581268
-0.733038,0.1623156
-0.733038,0.16441
-0.734085,0.1654572
-0.734085,0.1727876
-0.735133,0.1738348
-0.735133,0.1843068
-0.731991,0.1864012
-0.729897,0.19059
-0.725708,0.1947788
-0.720472,0.1979204
-0.714189,0.200014
-0.696386,0.200014
-0.689056,0.1947788
-0.677537,0.1832596
-0.674395,0.1811652
-0.668112,0.180118
-0.652404,0.1633628
-0.652404,0.1602212
-0.651357,0.159174
-0.65031,0.153938
-0.640885,0.1403244
-0.638791,0.132994
-0.632507,0.126711
-0.632507,0.1246166
-0.62413,0.1151918
-0.617847,0.1141446
-0.610516,0.105767
-0.609469,0.1036726
-0.609469,0.0869174
-0.610516,0.084823
-0.604233,0.079587
-0.600044,0.0785398
-0.591667,0.0733038
-0.589572,0.0764454
-0.589572,0.0816814
-0.594808,0.0879646
-0.594808,0.0942478
-0.590619,0.100531
-0.585383,0.1047198
-0.568628,0.105767
-0.566534,0.1078614
-0.564439,0.1078614
-0.562345,0.1120502
-0.558156,0.116239
-0.551873,0.116239
-0.54559,0.1151918
-0.542448,0.1120502
-0.542448,0.1078614
-0.544543,0.105767
-0.544543,0.0994838
-0.558156,0.084823
-0.573864,0.0827286
-0.570723,0.0764454
-0.566534,0.074351
-0.559203,0.074351
-0.55292,0.0764454
-0.548732,0.079587
-0.546637,0.0837758
-0.546637,0.090059
-0.543496,0.0963422
-0.540354,0.0994838
-0.535118,0.1015782
-0.535118,0.1078614
-0.534071,0.1089086
-0.525693,0.1078614
-0.523599,0.105767
-0.523599,0.1026254
-0.518363,0.0984366
-0.516268,0.0942478
-0.509985,0.0879646
-0.504749,0.0858702
-0.498466,0.079587
-0.491136,0.0764454
-0.483805,0.0701622
-0.483805,0.0659734
-0.484852,0.0649262
-0.483805,0.0607374
-0.47438,0.0523598
-0.473333,0.0502654
-0.473333,0.0471238
-0.472286,0.0460766
-0.472286,0.0397936
-0.471239,0.0376992
-0.466003,0.0324632
-0.45972,0.031416
-0.451342,0.02618
-0.444012,0.0240856
-0.44087,0.020944
-0.441917,0.01361356
-0.436681,0.00837758
-0.432493,0.01047198
-0.430398,0.01256638
-0.430398,0.01466076
-0.427257,0.01780236
-0.424115,0.01884956
-0.424115,0.0219912
-0.425162,0.0240856
-0.429351,0.0293216
-0.429351,0.0345576
-0.43354,0.0356048
-0.436681,0.031416
-0.44087,0.031416
-0.441917,0.0324632
-0.441917,0.0356048
-0.444012,0.0397936
-0.448201,0.0460766
-0.449248,0.0502654
-0.451342,0.0523598
-0.451342,0.0555014
-0.458673,0.0617846
-0.468097,0.0649262
-0.475428,0.0722566
-0.475428,0.0774926
-0.469145,0.0816814
-0.462861,0.0816814
-0.451342,0.084823
-0.450295,0.0858702
-0.450295,0.0932006
-0.445059,0.0984366
-0.445059,0.100531
-0.442965,0.1036726
-0.435634,0.1089086
-0.428304,0.1099558
-0.416785,0.1204278
-0.406313,0.1204278
-0.392699,0.1078614
-0.382227,0.1047198
-0.376991,0.0994838
-0.376991,0.0942478
-0.375944,0.0932006
-0.375944,0.090059
-0.37385,0.0879646
-0.357094,0.0827286
-0.348717,0.0753982
-0.341386,0.0722566
-0.335103,0.0670206
-0.334056,0.0680678
-0.334056,0.0753982
-0.33615,0.0774926
-0.337198,0.0827286
-0.349764,0.0963422
-0.366519,0.1099558
-0.367566,0.1120502
-0.367566,0.1225222
-0.366519,0.1235694
-0.366519,0.1256638
-0.356047,0.1350884
-0.341386,0.1350884
-0.334056,0.1319468
-0.331962,0.1298524
-0.329867,0.1204278
-0.319395,0.1130974
-0.315206,0.1183334
-0.306829,0.1183334
-0.304734,0.116239
-0.304734,0.1141446
-0.303687,0.1130974
-0.303687,0.1089086
-0.30264,0.1078614
-0.30264,0.1015782
-0.301593,0.100531
-0.301593,0.0984366
-0.296357,0.0921534
-0.296357,0.0879646
-0.300546,0.0837758
-0.300546,0.0816814
-0.301593,0.0806342
-0.301593,0.0701622
-0.305782,0.0670206
-0.313112,0.0670206
-0.317301,0.0628318
-0.318348,0.0565486
-0.322537,0.0555014
-0.324631,0.053407
-0.324631,0.0450294
-0.323584,0.0439822
-0.323584,0.0387464
-0.320442,0.0356048
-0.320442,0.0324632
-0.317301,0.0303688
-0.315206,0.0324632
-0.315206,0.0356048
-0.313112,0.0408408
-0.299498,0.0544542
-0.287979,0.0544542
-0.284838,0.0523598
-0.284838,0.0460766
-0.285885,0.0450294
-0.285885,0.036652
-0.298451,0.0251328
-0.306829,0.01989676
-0.306829,0.01675516
-0.304734,0.01256638
-0.301593,0.01047198
-0.296357,0.01256638
-0.291121,0.01675516
-0.287979,0.0219912
-0.286932,0.02618
-0.280649,0.031416
-0.27646,0.0376992
-0.275413,0.041888
-0.272271,0.0450294
-0.246091,0.0460766
-0.243997,0.0439822
-0.243997,0.0376992
-0.24295,0.036652
-0.24295,0.0282744
-0.243997,0.0272272
-0.243997,0.0240856
-0.248186,0.01989676
-0.248186,0.01570796
-0.247139,0.01466076
-0.243997,0.01466076
-0.239808,0.01780236
-0.228289,0.020944
-0.229336,0.0240856
-0.234572,0.0303688
-0.233525,0.036652
-0.230383,0.0397936
-0.233525,0.0408408
-0.237714,0.0450294
-0.237714,0.0471238
-0.236667,0.048171
-0.231431,0.0492182
-0.230383,0.0555014
-0.229336,0.0565486
-0.230383,0.0575958
-0.239808,0.0575958
-0.252375,0.0502654
-0.261799,0.0502654
-0.270177,0.053407
-0.275413,0.0575958
-0.275413,0.063879
-0.270177,0.0701622
-0.257611,0.079587
-0.248186,0.0890118
-0.256563,0.0973894
-0.263894,0.1015782
-0.264941,0.100531
-0.264941,0.0963422
-0.265988,0.095295
-0.265988,0.0921534
-0.268083,0.0890118
-0.268083,0.0869174
-0.273319,0.079587
-0.283791,0.079587
-0.285885,0.0816814
-0.286932,0.0837758
-0.286932,0.0932006
-0.285885,0.0942478
-0.285885,0.0973894
-0.283791,0.1015782
-0.284838,0.111003
-0.281696,0.116239
-0.281696,0.1225222
-0.275413,0.1277582
-0.251327,0.132994
-0.245044,0.1371828
-0.233525,0.1371828
-0.2241,0.132994
-0.212581,0.132994
-0.20944,0.1350884
-0.191637,0.1340412
-0.185354,0.1319468
-0.182212,0.1288052
-0.181165,0.126711
-0.181165,0.1204278
-0.180118,0.1193806
-0.165457,0.1172862
-0.16441,0.116239
-0.16441,0.111003
-0.159174,0.1078614
-0.159174,0.105767
-0.16441,0.0994838
-0.16441,0.0973894
-0.170693,0.0921534
-0.168599,0.0890118
-0.158127,0.0869174
-0.156032,0.0921534
-0.153938,0.0942478
-0.134041,0.0942478
-0.128805,0.0879646
-0.123569,0.0858702
-0.119381,0.090059
-0.125664,0.0973894
-0.125664,0.1130974
-0.127758,0.1151918
-0.126711,0.1288052
-0.120428,0.1361356
-0.11205,0.13823
-0.0984366,0.13823
-0.0890118,0.1288052
-0.0890118,0.1193806
-0.0932006,0.1151918
-0.095295,0.1099558
-0.100531,0.1068142
-0.100531,0.100531
-0.0984366,0.0973894
-0.0984366,0.095295
-0.0963422,0.0921534
-0.0963422,0.0890118
-0.095295,0.0879646
-0.095295,0.0617846
-0.0932006,0.058643
-0.0911062,0.0596902
-0.0911062,0.0701622
-0.090059,0.0712094
-0.090059,0.0764454
-0.0890118,0.0785398
-0.0911062,0.0806342
-0.0911062,0.0932006
-0.0942478,0.0963422
-0.0942478,0.1047198
-0.0858702,0.1130974
-0.0816814,0.1089086
-0.079587,0.1099558
-0.079587,0.121475
-0.0785398,0.1225222
-0.0785398,0.126711
-0.069115,0.1371828
-0.0596903,0.1371828
-0.0544543,0.1350884
-0.0439823,0.1246166
-0.0439823,0.1099558
-0.0460767,0.1078614
-0.0523599,0.1068142
-0.0544543,0.1047198
-0.0534071,0.1036726
-0.0534071,0.1015782
-0.0492183,0.0973894
-0.0356047,0.0984366
-0.0335103,0.100531
-0.0335103,0.1026254
-0.0324631,0.1036726
-0.0324631,0.116239
-0.0303687,0.1183334
-0.0272271,0.1183334
-0.0251327,0.116239
-0.0230383,0.1172862
-0.00418879,0.116239
-0.00418879,0.1068142
-0.00837758,0.1015782
-0.00837758,0.0994838
-0.0115192,0.095295
-0.0115192,0.0932006
-0.0230383,0.0827286
-0.0345575,0.079587
-0.0335103,0.0722566
-0.0314159,0.0701622
-0.0219911,0.0701622
-0.0188496,0.0670206
-0.0125664,0.074351
-0.0125664,0.0785398
0.00418879,0.0932006
0.00418879,0.0994838
0.00314159,0.100531
0.0020944,0.105767
0,0.1089086
0,0.116239
0.0010472,0.1172862
0.00314159,0.1183334
0.010472,0.1172862
0.020944,0.1089086
0.0356047,0.1047198
0.0397935,0.100531
0.0397935,0.0973894
0.0429351,0.0932006
0.0429351,0.0827286
0.0408407,0.0806342
0.0408407,0.0753982
0.0376991,0.0722566
0.0376991,0.069115
0.0366519,0.0680678
0.0366519,0.0617846
0.0408407,0.0575958
0.0429351,0.053407
0.0429351,0.048171
0.0418879,0.0471238
0.0429351,0.042935
0.0502655,0.0345576
0.0555015,0.0335104
0.0575959,0.031416
0.0575959,0.0251328
0.0513127,0.01884956
0.0513127,0.01361356
0.0523599,0.01256638
0.0523599,0.00942478
0.0544543,0.00628318
0.0617847,0.00628318
0.0670206,0.00942478
0.0659734,0.01047198
0.0659734,0.01466076
0.0649262,0.01570796
0.0649262,0.0219912
0.069115,0.02618
0.079587,0.0282744
0.0816814,0.0324632
0.0816814,0.0356048
0.0774926,0.0387464
0.0670206,0.0397936
0.0555015,0.0523598
0.0492183,0.053407
